항공사,출발지공항,스케줄타임
대한항공,쿠알라룸푸르,202403101640
대한항공,칭다오,202403101640
대한항공,푸켓,202403101655
대한항공,도쿄/나리타,202403101655
대한항공,방콕/수완나품,202403101710
대한항공,김해,202403101715
대한항공,방콕/수완나품,202403101720
대한항공,후쿠오카,202403101720
대한항공,덴파사르,202403101740
대한항공,푸켓,202403101745
대한항공,오클랜드(뉴질랜드),202403101755
대한항공,치앙마이,202403101805
대한항공,호찌민,202403101805
대한항공,하노이,202403101805
대한항공,밴쿠버,202403101820
대한항공,댈러스포트워스,202403101820
대한항공,상하이/푸동,202403101825
대한항공,나트랑,202403101830
대한항공,다낭,202403101830
대한항공,마닐라,202403101835
대한항공,싱가포르,202403101835
대한항공,후쿠오카,202403101840
대한항공,하노이,202403101840
대한항공,도쿄/나리타,202403101845
대한항공,시드니,202403101845
대한항공,애틀랜타,202403101845
대한항공,세부,202403101850
대한항공,프놈펜,202403101855
대한항공,나고야,202403101900
대한항공,베이징/서우두,202403101900
대한항공,방콕/수완나품,202403101905
대한항공,오사카/ 간사이,202403101905
대한항공,상하이/푸동,202403101905
대한항공,대구,202403101925
대한항공,미니애폴리스,202403101925
대한항공,김해,202403101935
대한항공,호찌민,202403101935
대한항공,비엔티안,202403101935
대한항공,로스앤젤레스,202403101940
대한항공,브리즈번,202403101945
대한항공,홍콩,202403102000
대한항공,마닐라,202403102005
대한항공,시애틀,202403102005
대한항공,세부,202403102005
대한항공,방콕/수완나품,202403102010
대한항공,방콕/수완나품,202403102015
대한항공,샌프란시스코,202403102020
대한항공,호놀룰루,202403102035
대한항공,뉴욕/존에프케네디,202403102035
대한항공,도쿄/하네다,202403102040
대한항공,타이베이,202403102055
대한항공,라스베이거스,202403102100
대한항공,다낭,202403102110
대한항공,호놀룰루,202403102125
대한항공,클라크필드,202403102135
대한항공,싱가포르,202403102310
대한항공,두바이,202403102340
대한항공,신 울란바토르,202403110005
대한항공,암스테르담,202403110055
대한항공,나트랑,202403110615
대한항공,후쿠오카,202403110650
대한항공,김해,202403110700
대한항공,키타큐슈,202403110705
대한항공,옌타이,202403110725
대한항공,도쿄/나리타,202403110730
대한항공,마닐라,202403110745
대한항공,신 울란바토르,202403110745
대한항공,베이징/서우두,202403110755
대한항공,후쿠오카,202403110800
대한항공,오사카/ 간사이,202403110800
대한항공,하노이,202403110805
대한항공,오키나와,202403110805
대한항공,선전,202403110815
대한항공,홍콩,202403110820
대한항공,김해,202403110825
대한항공,상하이/푸동,202403110825
대한항공,삿포로,202403110835
대한항공,선양(심양),202403110850
대한항공,광저우,202403110855
대한항공,장사,202403110855
대한항공,상하이/푸동,202403110855
대한항공,오사카/ 간사이,202403110900
대한항공,타이베이,202403110900
대한항공,칭다오,202403110905
대한항공,호찌민,202403110910
대한항공,방콕/수완나품,202403110915
대한항공,괌,202403110915
대한항공,우한,202403110915
대한항공,시안,202403110920
대한항공,옌지(연길),202403110925
대한항공,보스턴,202403110930
대한항공,애틀랜타,202403110935
대한항공,디트로이트,202403110935
대한항공,괌,202403110935
대한항공,타이베이,202403110940
대한항공,싱가포르,202403110950
대한항공,도쿄/나리타,202403110955
대한항공,뉴욕/존에프케네디,202403111000
대한항공,삿포로,202403111005
대한항공,샤먼,202403111005
대한항공,오키나와,202403111010
대한항공,워싱턴,202403111015
대한항공,톈진,202403111015
대한항공,호찌민,202403111015
대한항공,댈러스포트워스,202403111020
대한항공,토론토,202403111020
대한항공,난징,202403111030
대한항공,나고야,202403111035
